Date,Open,High,Low,Close,Adj Close,Volume
2019-06-24,51.740002,52.200001,50.520000,50.919998,44.636620,63419800
2019-07-01,51.070000,52.330002,50.779999,52.110001,45.679775,39715600
2019-07-08,52.200001,52.330002,51.430000,52.119999,45.688545,45424800
2019-07-15,52.279999,52.470001,51.369999,51.389999,45.048622,43540100
2019-07-22,51.520000,54.820000,51.130001,54.169998,47.485580,91728900
2019-07-29,54.169998,54.299999,51.910000,52.330002,45.872635,69906000
2019-08-05,52.389999,53.900002,51.400002,53.419998,46.828125,77886500
2019-08-12,53.279999,54.490002,52.869999,54.410000,47.695976,58940600
2019-08-19,54.439999,54.779999,53.389999,53.740002,47.108643,51627700
2019-08-26,54.000000,55.340000,53.730000,55.040001,48.248234,50819800
2019-09-02,54.980000,55.919998,54.759998,55.230000,48.414776,46480000
2019-09-09,55.029999,55.310001,53.849998,54.259998,47.564480,56437500
2019-09-16,54.099998,54.700001,53.630001,53.910000,47.603180,58991600
2019-09-23,53.910000,54.639999,53.880001,54.310001,47.956387,44797800
2019-09-30,54.150002,54.779999,52.820000,54.540001,48.159473,61526700
2019-10-07,54.330002,54.360001,53.200001,53.299999,47.064533,44326400
2019-10-14,53.490002,55.389999,53.130001,54.779999,48.371403,58638100
2019-10-21,54.450001,54.820000,53.669998,53.750000,47.461903,51702700
2019-10-28,53.740002,54.740002,53.160000,53.900002,47.594349,49358200
2019-11-04,53.959999,54.000000,51.959999,52.209999,46.102062,68955300
2019-11-11,52.330002,52.680000,51.580002,52.669998,46.508244,50755800
2019-11-18,52.680000,53.439999,52.669998,53.029999,46.826115,55401200
2019-11-25,53.279999,54.099998,52.770000,53.400002,47.152840,41000800
2019-12-02,53.320000,54.500000,52.849998,54.419998,48.412457,63207700
2019-12-09,54.299999,54.549999,53.660000,54.419998,48.412457,56065700
2019-12-16,54.689999,55.200001,53.889999,54.970001,48.901745,71118900
2019-12-23,55.000000,55.450001,54.639999,55.349998,49.239796,25784100
2019-12-30,55.180000,55.430000,54.090000,54.689999,48.652653,37636500
2020-01-06,54.650002,55.930000,54.150002,55.529999,49.399918,63786300
2020-01-13,55.529999,57.150002,55.419998,56.939999,50.654270,72882000
2020-01-20,56.849998,57.869999,56.570000,57.680000,51.312572,46291700
2020-01-27,57.209999,59.080002,56.660000,58.400002,51.953106,80674500
2020-02-03,58.750000,59.450001,58.520000,59.189999,52.655884,57271200
2020-02-10,59.320000,60.070000,59.209999,59.950001,53.331985,42733900
2020-02-17,59.810001,60.130001,59.110001,60.130001,53.492119,34781000
2020-02-24,59.110001,59.799999,51.580002,53.490002,47.585125,110813000
2020-03-02,53.930000,59.000000,53.700001,55.259998,49.159725,113626300
2020-03-09,52.049999,53.799999,46.610001,48.470001,43.119289,143619900
2020-03-16,42.240002,47.880001,37.509998,38.299999,34.370800,189667700
2020-03-23,38.759998,45.270000,36.270000,42.810001,38.418118,197706000
2020-03-30,43.040001,45.560001,41.799999,43.830002,39.333473,102585300
2020-04-06,45.389999,49.730000,44.689999,49.000000,43.973080,82232000
2020-04-13,48.349998,49.250000,46.500000,48.060001,43.129513,91732500
2020-04-20,47.790001,48.000000,44.259998,45.430000,40.769325,94476400
2020-04-27,46.000000,48.000000,45.209999,45.599998,40.921879,87293700
2020-05-04,45.320000,46.220001,44.500000,46.110001,41.379570,78258700
2020-05-11,45.689999,46.110001,43.200001,43.259998,38.821945,89734000
2020-05-18,44.820000,46.169998,44.130001,45.029999,40.410362,92456200
2020-05-25,46.919998,47.459999,45.930000,46.680000,41.891094,108026300
